,prompt_11,prompt_13,prompt_20,prompt_5,prompt_11__with_quote_False,prompt_13__with_quote_False,prompt_20__with_quote_False,prompt_5__with_quote_False,url,sent_idx,sentences
108,Specific Detail,Detail,Elaboration,Specific Detail,Specific Detail,Detail,Background Information,Background Information,/2023/03/03/10-things-to-do-this-womens-history-month-at-usc/,22,"

Birds of No Nation: Live Art Session by Shamsia Hassani
This event is part one of a three-part series celebrating International Women’s Day that explores the powerful role of arts and creativity in global struggles for women’s rights."
109,Specific Detail,Detail,Image Caption,Specific Detail,Specific Detail,Detail,Supporting Detail,Specific Detail,/2023/03/03/10-things-to-do-this-womens-history-month-at-usc/,23,This event allows participants to interact with Afghan graffiti artist and muralist Shamsia Hassni as she creates an art piece.
110,Specific Detail,Detail,Game Details,Specific Detail,Specific Detail,Detail,Game Details,Specific Detail,/2023/03/03/10-things-to-do-this-womens-history-month-at-usc/,24,Join her on March 8 from 12 p.m. to 1:30 p.m. at Alumni Park.
111,Specific Detail,Detail,Meta Information,Specific Detail,Specific Detail,Detail,Meta Information,Specific Detail,/2023/03/03/10-things-to-do-this-womens-history-month-at-usc/,25,"

Birds of No Nation: Creative Workshop with Gazelle Samizay
Part two of the three-part series."
112,Specific Detail,Detail,Supporting Detail,Specific Detail,Specific Detail,Detail,Main Event,Specific Detail,/2023/03/03/10-things-to-do-this-womens-history-month-at-usc/,26,Photographer and videographer Gazelle Samizay is inviting USC students to participate in an intimate workshop with her on March 8 from 5 p.m. to 6 p.m. at DML 240.
113,Specific Detail,Detail,Elaboration,Specific Detail,Specific Detail,Detail,Supporting Detail,Specific Detail,/2023/03/03/10-things-to-do-this-womens-history-month-at-usc/,27,All supplies will be provided and no need for experience so just come and have fun!
114,Transition,Transition,Meta Information,Specific Detail,Specific Detail,Detail,Meta Information,Specific Detail,/2023/03/03/10-things-to-do-this-womens-history-month-at-usc/,28,"

Birds of No Nation: Afghan Women on Art, Gender, Freedom, and Exile
Part three out of the three-part series."
115,Specific Detail,"The sentence serves the ""Detail"" role.",Elaboration,Specific Detail,Specific Detail,Detail,Elaboration,Specific Detail,/2023/03/03/10-things-to-do-this-womens-history-month-at-usc/,29,"If you went to the last session you can stay put, the event is at 7 p.m. in DML 240."
116,Specific Detail,Detail,Main Event,Specific Detail,Specific Detail,Detail,Main Event,Specific Detail,/2023/03/03/10-things-to-do-this-womens-history-month-at-usc/,30,"The series concludes with a dynamic conversation about art, creativity and politics in light of women’s experience in Afghanistan with the two previous Afghan Shamsia Hassani and Gazelle Samizay in conjunction with journalist and human rights activist Najiba Ayubi."
117,Specific Detail,Detail,Main Event,Specific Detail,Specific Detail,Detail,Main Event,Specific Detail,/2023/03/03/10-things-to-do-this-womens-history-month-at-usc/,31,"

Free Second Sunday @PAM – Celebrate Women Artists
Admission to the Pacific Asian Museum in Pasadena is free all-day on March 12 to celebrate Women’s History Month!"
118,Specific Detail,Detail,Meta Information,Specific Detail,Specific Detail,Detail,Supporting Detail,Specific Detail,/2023/03/03/10-things-to-do-this-womens-history-month-at-usc/,32,"From 11 a.m. to 3 p.m., create a mixed-media self-portrait inspired by artist Hung Lui and listen to a storytime in the “Crossroads” Gallery at 1 p.m.

Young Women’s Leadership Conference
On March 25 from 10 a.m. to 3:30 p.m., USC will be holding the YWLC at the USC School of International Relations."
119,Specific Detail,Detail,Supporting Detail,Specific Detail,Specific Detail,Detail,Supporting Detail,Specific Detail,/2023/03/03/10-things-to-do-this-womens-history-month-at-usc/,33,Young women from all over L.A. will join in skills-building workshops and discussions and learn from and meet influential women in politics and business.
120,Specific Detail,Detail,Supporting Detail,Specific Detail,Specific Detail,Detail,Supporting Detail,Specific Detail,/2023/03/03/10-things-to-do-this-womens-history-month-at-usc/,34,Lunch will be provided but spots are limited so make sure to confirm your spot fast!
121,Specific Detail,Detail,Image Caption,Specific Detail,Specific Detail,Detail,Meta Information,Specific Detail,/2023/03/03/10-things-to-do-this-womens-history-month-at-usc/,35,"

USC FemFest
Live music, food and activities – what not to enjoy!"
122,Specific Detail,Detail,Main Event,Specific Detail,Specific Detail,Detail,Main Event,Specific Detail,/2023/03/03/10-things-to-do-this-womens-history-month-at-usc/,36,FemFest by USC SAGE is holding its annual counter-patriarchal music festival in McCarthy Quad from 6 p.m. to 10 p.m. on March 25.
123,Specific Detail,Detail,Supporting Detail,Specific Detail,Specific Detail,Detail,Main Event,Specific Detail,/2023/03/03/10-things-to-do-this-womens-history-month-at-usc/,37,"

“Transforming Misogynoir”: A Conversation with Professor Moya Bailey & A.E. Stevenson
Join Moya Bailey for her lecture focused on marginalized groups’ use of digital media to promote social justice, and how race, gender, and sexuality are represented in media and medicine."
124,Specific Detail,Detail,Meta Information,Specific Detail,Specific Detail,Detail,Meta Information,Specific Detail,/2023/03/03/10-things-to-do-this-womens-history-month-at-usc/,38,RSVP is required for this event on March 28 from 12:30 p.m. to 2 p.m. in DML 121.
125,Introduction,Introduction,Image Caption,Background Information,Introduction,Introduction,Meta Information,Background Information,/2023/04/13/usc-has-a-new-dps-chief/,0,"USC has a new DPS chief

Lauretta Hill looks to better the relationship between DPS and USC students

DPS Chief Lauretta Hill speaks to members of the USC community. ("
126,Introduction,Introduction,Meta Information,Transition,Introduction,Introduction,Meta Information,Transition,/2023/04/13/usc-has-a-new-dps-chief/,1,"Photo by Jason Goode)

By Lyla Bhalla-Ladd and Jonathan Martin
April 13, 2023 at 6:18 pm PDT

Chief Hill is taking her new position in stride."
127,Main Event,Main Event,Main Event,Specific Detail,Main Event,Main Event,Main Event,Specific Detail,/2023/04/13/usc-has-a-new-dps-chief/,2,"Hosting a ‘get to know me and my department’ Q&A today in the Marshall school, Chief Hill made her commitment to revitalizing DPS through community outreach very clear."
128,Quote,Quote,Quote,Quote,Background Information,Background Information,Analysis,Background Information,/2023/04/13/usc-has-a-new-dps-chief/,3,"

Lauretta Hill: That bridge has been broken in our profession."
129,Quote,Quote,Quote,Quote,Reflection,Counterpoint,Personal Reflection,Analysis,/2023/04/13/usc-has-a-new-dps-chief/,4,And we know that it’s up to us to make sure that we have the olive branch.
130,Quote,Quote,Quote,Quote,Main Event,"The sentence serves as a ""Main Event"" discourse role. It highlights Chief Hill's primary objective and focus, which is to rebuild trust between the Department of Public Safety and the USC community.",Analysis,Analysis,/2023/04/13/usc-has-a-new-dps-chief/,5,"And we’re reaching out to try to rebuild that bridge of trust and, you know, to go both ways."
131,Quote,Quote,Quote,Quote,Reflection,Counterpoint,Counterpoint,Analysis,/2023/04/13/usc-has-a-new-dps-chief/,6,But I know we have a lot of work to do on accountability.
132,Quote,Analysis,Answer: Main Event,Quote,Main Event,Main Event,Personal Reflection,Background Information,/2023/04/13/usc-has-a-new-dps-chief/,7,"

Chief Hill tells me it is her personal responsibility to rebuild trust between DPS and the USC community they protect."
133,Background Information,Background Information,Background Information,Background Information,Background Information,Background Information,Background Information,Background Information,/2023/04/13/usc-has-a-new-dps-chief/,8,DPS has fallen under fire in recent years due to claims of racial profiling and mishandling situations especially with international students.
134,Background Information,Analysis,Analysis,Analysis,Introduction,Analysis,Elaboration,Analysis,/2023/04/13/usc-has-a-new-dps-chief/,9,"

Chief Hill tells me the solution to the distance felt between students and their Public Safety Officials is solidifying a relationship before crucial moments."
135,Quote,Quote,Quote,Quote,Specific Detail,Detail,Supporting Detail,Specific Detail,/2023/04/13/usc-has-a-new-dps-chief/,10,"

Hill: I want to take every opportunity to engage with students."
136,Quote,Quote,Quote,Quote,Specific Detail,Detail,Personal Reflection,Specific Detail,/2023/04/13/usc-has-a-new-dps-chief/,11,And so I’m making myself available.
137,Specific Detail,Background Information,Elaboration,Quote,Specific Detail,Detail,Supporting Detail,Specific Detail,/2023/04/13/usc-has-a-new-dps-chief/,12,"And I was talking to Dr. Allard when we met about student affairs and the student, the different student groups."
138,Quote,Quote,Quote,Quote,Specific Detail,Detail,Supporting Detail,Transition,/2023/04/13/usc-has-a-new-dps-chief/,13,"To meet them where they are, I said, “they don’t have to come to me."
139,Quote,Quote,Quote,Quote,Specific Detail,Detail,Supporting Detail,Specific Detail,/2023/04/13/usc-has-a-new-dps-chief/,14,"If they have Wednesdays where they play cards, I’ll go."
140,Specific Detail,Detail,Quote,Quote,Specific Detail,Detail,Supporting Detail,Specific Detail,/2023/04/13/usc-has-a-new-dps-chief/,15,"If they have Tuesdays where they’re eating and it’s on Tommy Trojan, I’ll go."
141,Quote,Quote,Quote,Quote,Specific Detail,Detail,Elaboration,Analysis,/2023/04/13/usc-has-a-new-dps-chief/,16,just make I’ll make myself available to meet and greet and talk with the students... We want you to have a relationship with us prior to you needing to call us for some kind of emergency.
142,Quote,Quote,Personal Reflection,Quote,Transition,Analysis,Elaboration,Analysis,/2023/04/13/usc-has-a-new-dps-chief/,17,"

What I’m telling my my internal folks is that community policing and being out and engaging with our students is not a program."
143,Quote,Quote,Elaboration,Quote,Transition,Supporting Evidence,Elaboration,Analysis,/2023/04/13/usc-has-a-new-dps-chief/,18,It’s a philosophy.
144,Background Information,Background Information,Background Information,Background Information,Background Information,Background Information,Background Information,Background Information,/2023/04/13/usc-has-a-new-dps-chief/,19,"

Chief Hill was called out of retirement to pursue this position at USC."
145,Quote,Quote,Personal Reflection,Quote,Reflection,Analysis,Personal Reflection,Analysis,/2023/04/13/usc-has-a-new-dps-chief/,20,"

Hill: I think it’s important for this profession that I love for me to leave even better than I found it."
146,Reflection,Quote,Personal Reflection,Quote,Reflection,Analysis,Personal Reflection,Analysis,/2023/04/13/usc-has-a-new-dps-chief/,21,"I wouldn’t, if I left now, would be doing that, just to be honest."
147,Transition,Analysis,Future Outlook,Analysis,Transition,Analysis,Future Outlook,Analysis,/2023/04/13/usc-has-a-new-dps-chief/,22,"

She’s approaching this job with the recognition of work to be done, and a new cultural understanding of public safety."
148,Specific Detail,Supporting Evidence,Supporting Detail,Specific Detail,Specific Detail,Detail,Supporting Detail,Specific Detail,/2023/04/13/usc-has-a-new-dps-chief/,23,"

Some of the initiatives in the works currently are 45 community-suggested programs curated from a CAB board made of student, faculty, staff, and other surrounding community members."
149,Future Outlook,Main Event,Future Outlook,Specific Detail,Future Outlook,Detail,Future Outlook,Specific Detail,/2023/04/13/usc-has-a-new-dps-chief/,24,Chief Hill says those are her priority in office.
150,Quote,Quote,Quote,Quote,Specific Detail,Supporting Evidence,Elaboration,Specific Detail,/2023/04/13/usc-has-a-new-dps-chief/,25,"

Hill: So the CAB was several listening sessions of student faculty, staff, community members that gave their input on how we reimagined policing."
151,Specific Detail,Analysis,Elaboration,Analysis,Background Information,"The sentence ""So kind of give us our guiding light, our guiding posts on where the community wanted DPS to go."" serves the discourse role of ""Supporting Evidence"".",Elaboration,Specific Detail,/2023/04/13/usc-has-a-new-dps-chief/,26,"So kind of give us our guiding light, our guiding posts on where the community wanted DPS to go."
152,Quote,Quote,Analysis,Quote,Reflection,Analysis,Analysis,Analysis,/2023/04/13/usc-has-a-new-dps-chief/,27,"You want this one vision where you do feel welcome, you feel respected, you feel that your diverse backgrounds and experiences are noted by DPS, and then we respond to you as an individual and not a call."
153,Reflection,Quote,Quote,Quote,Reflection,Conclusion,Personal Reflection,Analysis,/2023/04/13/usc-has-a-new-dps-chief/,28,And so that’s that’s what I want people to know about my philosophy.
154,Quote,Quote,Quote,Quote,Reflection,Analysis,Conclusion,Analysis,/2023/04/13/usc-has-a-new-dps-chief/,29,"You are a person, not just a call, and we want to do whatever it takes to make sure that you feel safe and respected."
155,Specific Detail,Detail,Supporting Detail,Specific Detail,Specific Detail,Detail,Supporting Detail,Specific Detail,/2023/04/13/usc-has-a-new-dps-chief/,30,"

After the Q&A, a student approached Chief Hill with a specific issue she had last year with a DPS Officer."
156,Transition,Transition,Transition,Transition,Transition,Transition,Transition,Transition,/2023/04/13/usc-has-a-new-dps-chief/,31,"When asked about how Chief handles complaints before her time, she tells me."
157,Quote,Quote,Quote,Quote,Specific Detail,Supporting Evidence,Supporting Detail,Specific Detail,/2023/04/13/usc-has-a-new-dps-chief/,32,"

Hill: Most comments brought up is is personal."
158,Quote,Quote,Quote,Quote,Reflection,Analysis,Answer: Elaboration,Analysis,/2023/04/13/usc-has-a-new-dps-chief/,33,So their interaction and you have to allow them their voice to be heard because what happened to them happened to them and it’s real to them.
159,Quote,Quote,Quote,Quote,Reflection,Detail,Personal Reflection,Specific Detail,/2023/04/13/usc-has-a-new-dps-chief/,34,So sometimes just listening and answering that extra question and so I make myself available to do that.
160,Reflection,Analysis,Analysis,Analysis,Reflection,Analysis,Personal Reflection,Analysis,/2023/04/13/usc-has-a-new-dps-chief/,35,"

There is difference of being represented and different from feeling like you belong."
161,Reflection,Analysis,Personal Reflection,Quote,Reflection,Conclusion,Personal Reflection,Analysis,/2023/04/13/usc-has-a-new-dps-chief/,36,I know those are two different things and I want people to feel like they feel they belong and I want to be part of that.
162,Future Outlook,Conclusion,Future Outlook,Analysis,Conclusion,Conclusion,Future Outlook,Analysis,/2023/04/13/usc-has-a-new-dps-chief/,37,"

Chief Hill says she sees great potential in our department here, and is ready to get to work in making DPS just another department on campus that works to ensure and promote student success."
